value,filename
be given to his father and mother. It,91513_0.txt
was promised that this would be done.,91513_0.txt
Some of the mob thought hanging,91513_0.txt
"good and wanted to torture him,",91513_0.txt
But the original program prevailed.,91513_0.txt
Some one produced a black mask,91513_0.txt
lik that used in a legal hanging and,91513_0.txt
it was put over the head of Hamilton.,91513_0.txt
It reached down to his shoulders. A,91513_0.txt
rope was then placed about his neck,91513_0.txt
and thrown over the guy wire. It was,91513_0.txt
"seized by many hands, the body was",91513_0.txt
lifted off the ground and suspended at,91513_0.txt
a héight of about four feet. The doomed,91513_0.txt
man began to gasp for breath and,91513_0.txt
his efforts were plainly discernable a,91513_0.txt
distance of two blocks. When life was,91513_0.txt
extinct the rope was made fast to the,91513_0.txt
telegraph pole and the body left suspended,91513_0.txt
The crowd immediately dispersed,91513_0.txt
..,91513_0.txt
NECK SPIVEY'S AROUND ROPE,91514_0.txt
Then Escaped.,91514_0.txt
Swang Up Three Times and,91514_0.txt
ROW STARTED IN A SALOON,91514_0.txt
Men Were Carousing After Attending,91514_0.txt
a Street Fair- Five Persons Were,91514_0.txt
Injured Before the Fun,91514_0.txt
Seriously,91514_0.txt
Ceased.,91514_0.txt
"Oxford, O., Oct 2.- Five men were",91514_0.txt
seriously injured and one narrowly escaped,91514_0.txt
lynching several times as the result,91514_0.txt
of last evening's riot at this place.,91514_0.txt
Those injured are:,91514_0.txt
"John Woodruff, marshal of Oxford,",91514_0.txt
believed to be fatally shot.,91514_0.txt
"Jacob Manrod, deputy marshal, shot",91514_0.txt
In the back and in the shoulder; condition,91514_0.txt
serious,91514_0.txt
school,91514_0.txt
"Ernest Jottin, a country",91514_0.txt
"teacher of Monroe, O., believed to be",91514_0.txt
tatally shot in the abdomen.,91514_0.txt
"Louis Spivey of Wagonville, Ky,",91514_0.txt
shot in the back and breast; serious.,91514_0.txt
"Joseph Spivey, skull fractured by",91514_0.txt
"stone, also of Wagonville, Ky.",91514_0.txt
The Spivey brothers were visiting,91514_0.txt
"Edward Richardson of Billingsville,",91514_0.txt
"Ind, just across the state line from Oxford",91514_0.txt
. The three came here to attend,91514_0.txt
the annual street fair and farmers',91514_0.txt
exposition. The town was filled with,91514_0.txt
strangers when these three men began,91514_0.txt
carousing in a saloon. They pulled revolvers,91514_0.txt
on the bartender who ejected,91514_0.txt
",",91514_0.txt
"them, and then they proceeded to raise",91514_0.txt
more trouble in other saloons. When,91514_0.txt
Marshal Woodruff undertook to arrest,91514_0.txt
them he was mortally shot. A fusilade,91514_0.txt
of bullets in the crowded streets followed,91514_0.txt
the shooting of the marshal.,91514_0.txt
Deputy Marshal. Manrod was shot,91514_0.txt
twice when he took the place of his,91514_0.txt
chief. During this fusilade in the,91514_0.txt
"street Ernest Jotten, while returning",91514_0.txt
"from his school to his boarding house,",91514_0.txt
was struck in the abdomen by a stray,91514_0.txt
bullet and he is in a critical condition.,91514_0.txt
After the shooting the three men,91514_0.txt
ran in different directions with crowds,91514_0.txt
after each one and each was hit in,91514_0.txt
the head with stones thrown by those,91514_0.txt
pursuing them. Louis Spivey,91514_0.txt
shot by a citizen. The three men was,91514_0.txt
were finally lodged in jail. Edward,91514_0.txt
Richardson was dismissed after it was,91514_0.txt
shown that he had nothing to do with,91514_0.txt
the shooting and was only accompanyIng,91514_0.txt
the Spivey brothers.,91514_0.txt
Crowds finally concentrated about,91514_0.txt
the jail and battered down the door,91514_0.txt
and took Joseph Spivey out to lynch,91514_0.txt
him. He was hauled from place to,91514_0.txt
place with a rope about his neck and,91514_0.txt
was swung up three different times,91514_0.txt
and yet escaped with his life. In,91514_0.txt
their haste the mob did not pinion his,91514_0.txt
arms or his legs and he managed to,91514_0.txt
use them so as to prevent strangulally,91514_0.txt
tion the first time he was hung. At,91514_0.txt
another time he was let down so that,91514_0.txt
he might write a farewell letter to his,91514_0.txt
wife and children and at another time,91514_0.txt
some one cut the rope. Before the,91514_0.txt
mob finally succeeded in hanging him,91514_0.txt
until he was dead the officers rescued,91514_0.txt
him end rushed him off to the city,91514_0.txt
"prison, where the mob was held at bay",91514_0.txt
for some time and finally order enough,91514_0.txt
was secured for speeches to be made,91514_0.txt
"by ex- Mayor Flannagan, Rev Dr",91514_0.txt
Thomas J. Potter and the brother of,91514_0.txt
Marshal Woodruff. While the speech-,91514_0.txt
es were being delivered the officers,91514_0.txt
spirited the Spivey brothers into the,91514_0.txt
cellar of the jail and thence out,91514_0.txt
through a coal chute and made good,91514_0.txt
their escape with them to the Butler,91514_0.txt
"county jail at Hamilton, O., a distance",91514_0.txt
of fifteen miles. The mob then finding,91514_0.txt
that it had been beaten dispersed and,91514_0.txt
the village was quiet during the latter,91514_0.txt
part of the night.,91514_0.txt
This village with its three large institutions,91514_0.txt
of learning is noted for its,91514_0.txt
"culture and order, but it was the scene",91514_0.txt
over a year ago of the lynching of,91514_0.txt
"Henry Corbin, a negro, for the murder",91514_0.txt
"of Mrs Horner, and a striking feature",91514_0.txt
of the attempted lynching last niglit,91514_0.txt
was the part taken by the,91514_0.txt
"negroes,",91514_0.txt
who protested every time the rope was,91514_0.txt
slackened and Joseph Spivey was let,91514_0.txt
"down to say his prayers, write to his",91514_0.txt
"wife and children, or for any other",91514_0.txt
purpose of mercy. Some of the negroes,91514_0.txt
raised quite a disturbance while proclaiming,91514_0.txt
that if the man had been a,91514_0.txt
negro he would surely have been,91514_0.txt
lynched in the first place without anyone,91514_0.txt
giving heed to his appeals. The,91514_0.txt
"mob was without a leader at any time,",91514_0.txt
but still it probably would not have,91514_0.txt
been folled but for the appeals of,91514_0.txt
Woodruff's brother to let the law,91514_0.txt
Sts course. take,91514_0.txt
Mob Lynched Negro For Pistol Play.,91515_0.txt
"LAKE VILLAGE, Ark., Nov. 4.-",91515_0.txt
"Henry Johnson, a negro, was taken",91515_0.txt
jail here at noon by by a a mo mob and,91515_0.txt
from hanged in the center of the town. The,91515_0.txt
act followed a fight between the whites,91515_0.txt
"and blacks early in the day, in which",91515_0.txt
Frank Anderson was killed and B.,91515_0.txt
"Vinson, a lawyer from Little Rock, and",91515_0.txt
several others were wounded. During,91515_0.txt
"the row, it is claimed, Ed Coleman, a",91515_0.txt
"negro, began shooting, which started a",91515_0.txt
"fusillade. Coleman fled, with a posse",91515_0.txt
in pursuit. Johnson was locked up.,91515_0.txt
"Excitement ran high, and a mass meeting",91515_0.txt
"of citizens was held, at which observation",91515_0.txt
"of law was urged, but a",91515_0.txt
large number of the more excitable,91515_0.txt
"rushed to the jail, battered down the",91515_0.txt
"doors, secured Johnson and",91515_0.txt
him out of Work hanged.,91515_0.txt
FOUR ARE KILLED,91516_0.txt
IN LYNCHING RIOT,91516_0.txt
Soldiers Sent From Camp Greene,91516_0.txt
When Mob Tries to String Up,91516_0.txt
Negro Prisoner.,91516_0.txt
"Winston- Salem, N. C., Nov. 18.-",91516_0.txt
Order was restored here today after,91516_0.txt
a night of rioting in which four persons,91516_0.txt
"were killed and a score injured,",91516_0.txt
when a mob attempted to lynch Rus-,91516_0.txt
"sell High, a negro, held in the city",91516_0.txt
"jail on charges of shooting a farmer,",91516_0.txt
the county sheriff and attacking the,91516_0.txt
farmer's wife.,91516_0.txt
"The negro, who was not positively",91516_0.txt
"identified, is believed to have been removed",91516_0.txt
elsewhere for safe keeping.,91516_0.txt
Arrival of 175 soldiers from Camp,91516_0.txt
Greene early today had a pronounced,91516_0.txt
"effect on the mob, which dispersed:",91516_0.txt
after word had been passed around,91516_0.txt
that the prisoner had been taken under,91516_0.txt
heavy guard to another city. The,91516_0.txt
military took charge of the situation,91516_0.txt
at once.,91516_0.txt
The jail at daylight was filled with,91516_0.txt
persons who were disarmed and locked,91516_0.txt
up while the mob spirit was at its,91516_0.txt
highest pitch. The list of dead included,91516_0.txt
"Rachel Levi, a young girl, who",91516_0.txt
was shot while leaning out of a window,91516_0.txt
during the indiscriminate shoot-,91516_0.txt
"- ing. Robert Young, a fireman, was",91516_0.txt
killed while playing a stream of water,91516_0.txt
"on the mob. Charles J. White, a construction",91516_0.txt
"foreman, was fatally wounded",91516_0.txt
while driving a motor car near the,91516_0.txt
scene of the rioting. The fourth,91516_0.txt
tim was an unidentified negro. vic-,91516_0.txt
Miner Lynches Storms Jail and Mob,91517_0.txt
Rope of the German at End Prays in,91517_0.txt
For Words Derogatory to President;,91517_0.txt
"Collinsville, Ill., April 5.- Kneeling",91517_0.txt
Robert P.,91517_0.txt
"with his arms crossed,",91517_0.txt
"Prager, who was lynched by a mob",91517_0.txt
"last night at midnight, for alleged",91517_0.txt
"disloyal utterances, prayer in German",91517_0.txt
three minutes before he,91517_0.txt
for was,91517_0.txt
"strung up, according to statements",91517_0.txt
today by members of the lynching,91517_0.txt
party.,91517_0.txt
Prager was a coal miner and yesterday,91517_0.txt
"at Maryville, in an address to",91517_0.txt
"the miners on socialism, is said to",91517_0.txt
remarks derogatory to,91517_0.txt
have made,91517_0.txt
President Wilson. Miners there became,91517_0.txt
angry and when they threatened,91517_0.txt
to do him bodily harm escaped,91517_0.txt
"to Collinsville, his home. Some of",91517_0.txt
"the miners followed him, collected a",91517_0.txt
"crowd, took Prager from his home",91517_0.txt
the,91517_0.txt
and led him barefoot through,91517_0.txt
streets waving an American flag.,91517_0.txt
"The police, fearing violence, took",91517_0.txt
Prager from the crowd and placed,91517_0.txt
him in the city jail. Later a large,91517_0.txt
mob gathered in front of the City hall,91517_0.txt
and demanded the man. Mayor J. H.,91517_0.txt
Siegel counselled calmness but the,91517_0.txt
police force of four was overpowered,91517_0.txt
and Prager was found hiding in the,91517_0.txt
basement of the hall.,91517_0.txt
He was dragged at the end of a,91517_0.txt
rope beyond the city limits. As the,91517_0.txt
mob prepared to hang him to the,91517_0.txt
limb of a tree he was asked if he had,91517_0.txt
His answer was to,91517_0.txt
anything to say.,91517_0.txt
"drop to his knees and, with arms",91517_0.txt
"crossed, to pray in German for three",91517_0.txt
minutes. Without another word he,91517_0.txt
was pulled into the air. The mob,91517_0.txt
then dispersed.,91517_0.txt
"said Prager, while in",91517_0.txt
The police,91517_0.txt
"their custody, had stated he was a",91517_0.txt
"registered enemy alien, that he was",91517_0.txt
born in Germany but that he had,91517_0.txt
taken out his first naturalization papers,91517_0.txt
and hoped to become an Ameri-,91517_0.txt
can citizen.,91517_0.txt
Collinsville is 12 miles east of St.,91517_0.txt
Louis.,91517_0.txt
Before the rope was placed about.,91517_0.txt
"his neck, Prager wrote the following",91517_0.txt
note in German:,91517_0.txt
"Carl Henry Prager, Dresden,",91517_0.txt
Germany:,91517_0.txt
"Dear Parents: I must on this,",91517_0.txt
"the fourth day of April, 1918,",91517_0.txt
"die. Please pray for me, my",91517_0.txt
dear parents. This is my last,91517_0.txt
letter and testament.,91517_0.txt
"Your dear son and brother,",91517_0.txt
ROBERT PAUL PRAGER.,91517_0.txt
In Prager's pocket was found a,91517_0.txt
"long"" proclamation"" in which he",91517_0.txt
stated his loyalty to the United States,91517_0.txt
"and to union labor, and told of his",91517_0.txt
difficulty in entering the miners,91517_0.txt
nion.',91517_0.txt
Fear Further Lynchings.,91517_1.txt
"Washington, April- Until the fed-",91517_1.txt
cral government is given 5 power to,91517_1.txt
punish persons making disloyal utterances,91517_1.txt
", department of justice officials",91517_1.txt
fear more lynchings such as that,91517_1.txt
"of Robert P. Prager at Collinsville,",91517_1.txt
night. This first,91517_1.txt
"111., last was the",91517_1.txt
report reaching here of such extreme,91517_1.txt
violence to a German although off-,91517_1.txt
cials have feared such occurrences.,91517_1.txt
The government has no authority,91517_1.txt
to take action against the lynchers.,91517_1.txt
Officials of the department of justice,91517_1.txt
expressed the hope that state or local,91517_1.txt
authorities would speedily punish the,91517_1.txt
lynchers.,91517_1.txt
At the same it was pointed out that,91517_1.txt
until congress passes a pending bill,91517_1.txt
making it an offense to speak or,91517_1.txt
write obviously disloyal criticisms of,91517_1.txt
"the United States in the war, the",91517_1.txt
government cannot punish these attacks,91517_1.txt
and reduce the danger of mob,91517_1.txt
violence.,91517_1.txt
Attorney General Gregory took to,91517_1.txt
the cabinet meeting today a report,91517_1.txt
"of the lynching of a German, Rob-",91517_1.txt
"ert P. Prager, at Collinsville, Ills.,",91517_1.txt
last night for discussion with President,91517_1.txt
Wilson. The government is expected,91517_1.txt
to denounce the mob's lawless,91517_1.txt
"act, and express the hope there will",91517_1.txt
not be repetitions elsewhere.,91517_1.txt
A. brief note of the lynching,91517_1.txt
reached the attorney general today,91517_1.txt
from U. S. Attorney Charles Parch.,91517_1.txt
Further details were asked.,91517_1.txt
Officials made plain they deplored,91517_1.txt
"the incident, both because of the effect",91517_1.txt
in this country and because it is,91517_1.txt
feared reprisals niay be made in Ger-,91517_1.txt
Americans,91517_1.txt
many on.,91517_1.txt
Tarred and Feathered by Mob.,91517_2.txt
"Chicago, April 5.- Frederick Wil-",91517_2.txt
"helm Gustave Ehlen, a German, of",91517_2.txt
"Minneapolis, was turned over to federal",91517_2.txt
authorities today for questioning,91517_2.txt
"He was tarred and feathered in Flint,",91517_2.txt
"Mich., last Tuesday and left there",91517_2.txt
Wednesday. When Ehlen was met,91517_2.txt
by detectives on arriving here a suit,91517_2.txt
case he was carrying contained clippings,91517_2.txt
of German raids and,91517_2.txt
graphs of German notables. photo-,91517_2.txt
TWO NEGROES,91518_0.txt
ARE LYNCHED IN,91518_0.txt
GEORGIA TOWN,91518_0.txt
Accused of Having Shot,91518_0.txt
Sheriff Are Hanged,91518_0.txt
By Mob.,91518_0.txt
"Washington, Ga., Oct. 6. Jack",91518_0.txt
"Gordon, a negro charged with wounding",91518_0.txt
deputy sheriff Freeman near Lin-,91518_0.txt
"colnton, Ga., Saturday night and Will",91518_0.txt
"Brown, another negro were lynched",91518_0.txt
the,91518_0.txt
early today near the scene of,91518_0.txt
"shooting, according to reports received",91518_0.txt
at the sheriff's office here today,91518_0.txt
. Gordon was taken from this,91518_0.txt
place early today by the county sheriff,91518_0.txt
"enroute to Lincolnton, and a number",91518_0.txt
of white men in automobiles followed,91518_0.txt
.,91518_0.txt
"Mose Martin, another negro was",91518_0.txt
killed by a posse late yesterday during,91518_0.txt
the hunt for Gordon and several,91518_0.txt
other blacks were whipped for refusing,91518_0.txt
to give information as to Gor-,91518_0.txt
don's whereabouts,91518_0.txt
The lynching took place about 4,91518_0.txt
o'clock this morning after Gordon had,91518_0.txt
been taken from the custody of,91518_0.txt
Sheriff Kelley of Wilkes county by a,91518_0.txt
mob said to number approximately,91518_0.txt
one thousand persons. The other,91518_0.txt
"negro, Brown, was being held by the",91518_0.txt
mob awaiting the arrival of Gordon.,91518_0.txt
The two were strung up on the outskirts,91518_0.txt
of town and after their bodies,91518_0.txt
"had been riddled with bullets, they",91518_0.txt
were cut down and placed on a pile,91518_0.txt
of burning pine wood.,91518_0.txt
TUMULTY TO MAKE,91518_0.txt
PUBLIC LIST OF,91518_0.txt
WILSON PRESENTS,91518_0.txt
"Washington, Oct. 6 .--- Acting upon",91518_0.txt
"the"" express directions of the President",91518_0.txt
"and Mrs. Wilson,"" Secretary Tu-",91518_0.txt
multy today made public a statement,91518_0.txt
containing itemized list of presents,91518_0.txt
received by an them while in Europe.,91518_0.txt
TWO NEGROES,91518_0.txt
ARE LYNCHED,91518_0.txt
GEORGIA TOWN IN,91518_0.txt
TOWN IS QUIET,91520_0.txt
AFTER LYNCHING,91520_0.txt
was quiet early today following the,91520_0.txt
"MacClenny, Fla., Oct. 6- MacClenny",91520_0.txt
lynching here yesterday of three ne-,91520_0.txt
groes and the shooting to death of a,91520_0.txt
"fourth, but further trouble wa feared",91520_0.txt
"in event of the capture of Jim Givens,",91520_0.txt
"negro, who shot and killed John Har-",91520_0.txt
"vey, a farmer, Saturday night. Posses",91520_0.txt
late last night were the trail of,91520_0.txt
on,91520_0.txt
Givens. Harvey was shot and killed,91520_0.txt
at a turpentine camp about ten miles,91520_0.txt
northeast of here. The three negroes,91520_0.txt
"lynched- Fulton Smith, Ray Field",91520_0.txt
"and Givens, brother",91520_0.txt
Ben Jim,91520_0.txt
"Givens were implicated, it was of said.",91520_0.txt
NOTES EDITORIAL,91520_1.txt
sections. This,91520_1.txt
Civilization develops slowly in,91520_1.txt
some,91520_1.txt
morning comes a report from Florida of four negroes lynched,91520_1.txt
and fifth being chased. How puzzled foreigners must be,91520_1.txt
When a they compare such reports with some of our pretensions.,91520_1.txt
NEGROES CONDONE,91521_0.txt
LYNCHING OF ONE,91521_0.txt
OF THEIR BLOOD,91521_0.txt
"Athens, Ga., Sept. 23- Negroes at",91521_0.txt
"a mass meeting near Lexington, Ga.,",91521_0.txt
have endorsed the action of whites,91521_0.txt
"in lynching Obe Cox, negro, accused",91521_0.txt
of attacking and murdering the wife,91521_0.txt
of a white farmer.,91521_0.txt
Resolutions adopted at the meeting,91521_0.txt
condemned in strong language the,91521_0.txt
crime which aroused one thousand,91521_0.txt
men and sent them on a 24 hour,91521_0.txt
search of swamps concluding with the,91521_0.txt
shooting to death of the negro and,91521_0.txt
burning of the body. At the time of,91521_0.txt
the crime the negro was under indictment,91521_0.txt
for an attack,91521_0.txt
upon a ne-,91521_0.txt
. He is said to have confessed,91521_0.txt
gress to both crimes.,91521_0.txt
TWO NEGROES,91522_0.txt
ARE LYNCHED AT,91522_0.txt
"COLUMBUS, GA.",91522_0.txt
"Columbus, Ga., Oct. 17- The cause",91522_0.txt
of race troubles in the county between,91522_0.txt
"here and Buena Vista, Ga.,",91522_0.txt
which were said to have resulted in,91522_0.txt
the lynching of two negroes and the,91522_0.txt
"burning of a negro house yesterday,",91522_0.txt
had not been learned definitely here,91522_0.txt
early today. The Scene of the,91522_0.txt
trouble was about seven miles north,91522_0.txt
of Buena Vista. The house burned,91522_0.txt
"was said to have been that of"" Doc""",91522_0.txt
"Smith, a negro accused of intimacy",91522_0.txt
"with a white woman who disappeared,",91522_0.txt
but whether Smith was one of,91522_0.txt
lynched was not known. those,91522_0.txt
NEGRO SHOT TO,91524_0.txt
DEATH BY MOB,91524_0.txt
"Wounded Policeman, Is",91524_0.txt
Dragged From Hospital,91524_0.txt
Bed and Shot.,91524_0.txt
"Montgomery, Ala., Sept. 30- John",91524_0.txt
"Temple, negro, who last night shot",91524_0.txt
and fatally wounded Policeman John,91524_0.txt
Barbare and who was wounded by,91524_0.txt
"the officer, was shot to death in a",91524_0.txt
hospital shortly after 2 o'clock this,91524_0.txt
morning by a small band of white,91524_0.txt
men.,91524_0.txt
He was the third negro to die,91524_0.txt
by lynch law within a period of 12,91524_0.txt
"hours, Miles Phifer and Robert",91524_0.txt
"Crosky, the latter a discharged soldier",91524_0.txt
", having been shot to death by a",91524_0.txt
mob five miles from the city yesterday,91524_0.txt
"afternoon. Still another negro,",91524_0.txt
"Bird Astor, who was with Temple",91524_0.txt
"when Barbare was shot, was being",91524_0.txt
sought by a posse and it was believed,91524_0.txt
capture would result more vio-,91524_0.txt
| lence.,91524_0.txt
There was no connection between,91524_0.txt
the lynching of Phifer and Crosky,91524_0.txt
and the killing of Temple. The first,91524_0.txt
named two charged with crimes,91524_0.txt
"against white women, were taken",91524_0.txt
from three deputy sheriffs by a mob,91524_0.txt
of about 25 men five miles from the,91524_0.txt
city. The negroes were told to run,91524_0.txt
"for their lives, and as they started",91524_0.txt
were shot down. The mob,91524_0.txt
then,91524_0.txt
quietly dispersed.,91524_0.txt
Last night Policeman Barabre arrested,91524_0.txt
"Temple, Astor and a negress",91524_0.txt
on a charge of disorderly conduct as,91524_0.txt
a result of a row following a dance.,91524_0.txt
Temple resented his arrest and shot,91524_0.txt
"the officer, but not until he himself",91524_0.txt
had been wounded. In the,91524_0.txt
Astor fled. meantime,91524_0.txt
WOULD LYNCH AMERICANS,91526_0.txt
Berlin Zeitung Am Mittag Suggests,91526_0.txt
Reprisals For Hanging of Robert,91526_0.txt
W,91526_0.txt
"P. Prager in Collinsville, Ill.",91526_0.txt
"Amsterdam, May 6.- The lynching",91526_0.txt
"at Collinsville, Ill., last month o",91526_0.txt
"Robert P. Prager, a German, accused",91526_0.txt
by the mob which hanged him of disloyalty,91526_0.txt
", has infuriated German editors",91526_0.txt
. The Zeitung Am Mittag of Berlin,91526_0.txt
calls upon the German government,91526_0.txt
to make strong representation,91526_0.txt
with Washington reminding the Am-,91526_0.txt
erican government that Germany,91526_0.txt
holds a number of prisoners upon,91526_0.txt
"whom reprisals can be taken, so as to",91526_0.txt
prevent lynching of Germans in America,91526_0.txt
from becoming fashionable,91526_0.txt
sport. a,91526_0.txt
GOV. STANLEY CHALLENGES,91527_0.txt
"THE GOVERNO LYNCH TO""",91527_0.txt
MOB TO CARRY OUT THREA,91527_0.txt
"Goes to Murray,",91527_0.txt
Where,91527_0.txt
Promised Natives to,91527_0.txt
Judge and Prosecu,91527_0.txt
NEGRO SLAYER AT,91527_0.txt
BOTTOM OF TROU,91527_0.txt
Crowd Demands Immediate Tr,91527_0.txt
"Colored Man, Charged With",91527_0.txt
"der of White Citizen, and Be",91527_0.txt
Infuriated When Court Post,91527_0.txt
Hearing Steam Kept Up o,91527_0.txt
ecutive's Train.,91527_0.txt
"Murray, Ky., Jan. 11 -- In lin",91527_0.txt
his announced intention to give,91527_0.txt
"mob"" a chance to lynch the",91527_0.txt
"nor of Kentucky first"" Govern",91527_0.txt
C. Stanley arrived here early,91527_0.txt
and took charge of the sit,91527_0.txt
growing out of the threats mad,91527_0.txt
terday by a mob against the l,91527_0.txt
Circuit Judge Charles Bush and,91527_0.txt
monwealth Attorney Denny Sm,91527_0.txt
The anger of the mob was a,91527_0.txt
I against. Judge Bush and Con,91527_0.txt
wealth's Attorney Smith yes,91527_0.txt
when a continuance was grante,91527_0.txt
"the case of Lube Martin, C",91527_0.txt
with the killing of Guthrie D,91527_0.txt
a white man.,91527_0.txt
The fact that a continuance,91527_0.txt
been granted was kept secret,91527_0.txt
time and then publicly announc,91527_0.txt
"Judge Bush, who stated that he",91527_0.txt
be tried next month.,91527_0.txt
Howls and jeers from the,91527_0.txt
gathered in the court room,91527_0.txt
this statement. The mob call,91527_0.txt
the prisoner and when he was,91527_0.txt
produced demanded that the.,91527_0.txt
cuting attorney be turned OV,91527_0.txt
them as a guarantee for the,91527_0.txt
er's return. Attempts at expla,91527_0.txt
from the bench were howled,91527_0.txt
while leaders of the mob dem,91527_0.txt
that the negro be returned to,91527_0.txt
court room and placed on trial,91527_0.txt
Court officials then explaine,91527_0.txt
Martin had been spirited away,91527_0.txt
could not be returned before,91527_0.txt
morning. This further arous,91527_0.txt
"ire of the mob, which demande",91527_0.txt
er,91527_0.txt
the,91527_0.txt
the judge order the return of,91527_0.txt
"declarng, in event of",91527_0.txt
"negro,",91527_0.txt
"to comply with their demand,",91527_0.txt
intention to lynch him together,91527_0.txt
"the commonwealth's attorney,",91527_0.txt
dynamite the hotel at which,91527_0.txt
After hasty C,91527_0.txt
were staling. a,91527_0.txt
tation between counsel and,91527_0.txt
Bush it was announced that the,91527_0.txt
"would be brought back, and",91527_0.txt
on trial this morning.,91527_0.txt
Governor Stanley was inform,91527_0.txt
the situation and left Frankfo,91527_0.txt
"the first available train, bringing",91527_0.txt
"him Judge H. B. Hines, chairm",91527_0.txt
"the state prison commission,",91527_0.txt
"Warden J. B. Chilton, of the",91527_0.txt
ville penitentiary.,91527_0.txt
The special train on which,91527_0.txt
nor Stanley arrived was left,91527_0.txt
ing with steam up ready to,91527_0.txt
them from Murray if further,91527_0.txt
mands were made against their,91527_0.txt
threats were made on,91527_0.txt
Open,91527_0.txt
streets that any attempt to re,91527_0.txt
Judge Bush from Murray or to,91527_0.txt
vent the trial today of Lube M,91527_0.txt
place the governor's ow,91527_0.txt
in would danger.,91527_0.txt
NEGRO CIRCUSMAN TAKEN FROM,91528_0.txt
JAIL AND LYNCHED TODAY,91528_0.txt
"( Special from United Press,)",91528_0.txt
"Frankfort, Ky., June 3.- Within",91528_0.txt
sight and sound of the Governor's,91528_0.txt
"mansion, John Maxie, a negro attache",91528_0.txt
"of Howe's Circus, after escaping death",91528_0.txt
at the hands of a mob of his own,91528_0.txt
"race, was taken from jail early to- day",91528_0.txt
by a white mob and lynched from a,91528_0.txt
bridge over the Kentucky river. Max-,91528_0.txt
"ie was discovered by Bert C. Bowers,",91528_0.txt
"Wichitka, Mass., in the act of ripping",91528_0.txt
the canvas and when ordered to desist,91528_0.txt
", turned on Bowers and shot him",91528_0.txt
in the abdomen. A mob of colored la-,91528_0.txt
borers attacked Maxie when local officials,91528_0.txt
succeeded in getting him away,91528_0.txt
and placing him in jail. While further,91528_0.txt
attempts at lynching were feared,91528_0.txt
", nothing was done to prevent it",91528_0.txt
and at 1:30 A. M. a mob of white,91528_0.txt
masked men went to the jail and took,91528_0.txt
the negro to the bridge.,91528_0.txt
"There, while the negro pleaded for",91528_0.txt
"his life, a rope was placed around his",91528_0.txt
neck and as he was swung from over,91528_0.txt
"a beam of an electric light pole, his",91528_0.txt
body was riddled with bullets. Following,91528_0.txt
"the lynching Governor Wilson,",91528_0.txt
whose mansion was close enough to,91528_0.txt
"hear the shots fired, was called from",91528_0.txt
bed by telephone and informed of the,91528_0.txt
"occurrence. He stated, however, that",91528_0.txt
he knew of no reason why he should,91528_0.txt
be disturbed over a purely local affair,91528_0.txt
.,91528_0.txt
"Bowers, the white man who",91528_0.txt
